"Term","Class Nbr","Section","Subject","Catalog","Descr","Component","Course ID","Survey ID"
"1043","3441","1","FA","   4A","THREE-DIMENSIONAL DES. I","STD","002828","504760163"
"1043","4325","1","UWS","   9A","UNIVERSITY WRITING SEM.","SEM","009410","504760163"
"1043","4178","1","SOC"," 191A","HEALTH, COMMUNITY & SOC.","LEC","007956","504760163"
"1043","3446","1","FA","  17A","HIST ART I:ANTIQ-MEDIEVL","LEC","002763","504760163"
"1051","3180","1","FA","  18B","HIST ART II:RENAISS.-MOD","LEC","002776","504760163"
"1051","2767","1","USEM","  20B","ART & THE ASIAN CITY","SEM","009123","504760163"
"1051","2454","1","SPAN","  10A","BEGINNING SPANISH","LEC","008175","504760163"
"1053","6268","1","ENG"," 177A","HITCHCOCK'S MOVIES","LEC","002290","504760163"
"1053","5997","1","FA","  61B","WOMEN AS ARTISTS & ART","LEC","002840","504760163"
"1053","4429","1","PHSC","   2B","INTRODUCTORY ASTRONOMY","LEC","006729","504760163"
"1053","4426","1","FA"," 112A","INTERMEDIATE SCULPTURE","STD","002710","504760163"
"1061","4301","1","FA","   6A","IMPLICATING THE BODY IN SCULPT","STD","010835","504760163"
"1061","2282","1","FA","  18B","HIST ART II:RENAISS.-MOD","LEC","002776","504760163"
"1061","2086","1","FA"," 112B","INTERMEDIATE SCULPTURE II","STD","009770","504760163"
"1063","5267","1","PE","   5A","FIRST AID AND CPR","NCA","006503","504760163"
"1063","4234","1","FA","  13B","BUDDHIST ART","LEC","002737","504760163"
"1063","4208","1","FA","   5B","BLURRING THE BOUNDARIES","STD","009517","504760163"
"1063","4181","2","FA","   4A","THREE-DIMENSIONAL DES. I","STD","002828","504760163"
"1083","5598","1","FA"," 111A","SCULPTURE SEMINAR","STD","011866","504760163"
"1083","3835","4","FA","  98A","IND. STUDY: STUDIO ART","IND","002909","504760163"
"1113","10837","15","EL","  94A","EXPERIENTIAL LEARNING PRACTICM","LAB","012336","504760163"
"1113","10439","3","FA","  99A","SENIOR RESEARCH STUDIO ART","IND","002913","504760163"
"1113","10200","1","ENG"," 151A","QUEER STUDIES","SEM","002239","504760163"
