"Term","Class Nbr","Section","Subject","Catalog","Descr","Component","Course ID","Survey ID"
"1053","4246","1","ENG"," 119B","DIRECTED WRITING: POETRY","SEM","002142","892123844"
"1053","6290","1","PHIL","  18A","PHILOSOPHY OF RACE AND GENDER","LEC","010845","892123844"
"1053","6014","1","HIST"," 181B","RED FLAGS/BLACK FLAGS","LEC","003480","892123844"
"1053","4463","1","SOC"," 164A","EXISTENTIAL SOCIOLOGY","LEC","007904","892123844"
"1053","3229","1","FREN","  10A","BEGINNING FRENCH","LEC","002946","892123844"
"1061","4266","1","FA"," 181B","THE ART OF JAPAN","LEC","002764","892123844"
"1061","4166","1","UWS","  14B","UNIVERSITY WRITING SEM.","SEM","009344","892123844"
"1061","2057","1","USEM","   9B","JOURNEYS TO THE UNDERWORLD","SEM","009841","892123844"
"1063","4333","3","MATH","   5A","PRECALCULUS MATHEMATICS","LEC","005349","892123844"
"1063","3151","1","PHIL","  66B","CONTEMP ANALYTICAL PHIL.","LEC","006695","892123844"
"1063","3149","1","PHIL","  17A","INTRO TO ETHICS","LEC","006632","892123844"
"1063","3119","1","PHIL","  38B","PHILOSOPHY OF MATH","LEC","006670","892123844"
"1063","3118","1","PHIL","   6A","INTRO TO SYMBOLIC LOGIC","LEC","006701","892123844"
"1071","4704","1","PHIL"," 182A","WITTGENSTEIN'S PHIL INVESTIGA","SEM","011604","892123844"
"1071","4073","1","PHIL","  39B","PHILOSOPHY OF MIND","LEC","006671","892123844"
"1071","1998","1","PHIL"," 114B","TOPICS IN ETHICAL THEORY","LEC","006544","892123844"
"1071","1658","1","NPSY","  11B","INTRO:BEHAVIORAL NEUROSC","LEC","006392","892123844"
"1071","1528","2","MATH","  10A","TECHNIQUES-CALCULUS (A)","LEC","005186","892123844"
"1073","3430","1","NBIO"," 148B","CELLULAR NEUROSCIENCE","LEC","005630","892123844"
"1073","3429","1","NBIO"," 140B","PRINCIPLES: NEUROSCIENCE","LEC","005622","892123844"
"1073","3324","4","BIOL","  22B","CELL STRUCTURE/FUNCTION","LEC","000885","892123844"
"1073","3318","2","BIOL","  18B","GENERAL BIOLOGY LAB","LAB","000853","892123844"
"1081","4045","1","NBIO"," 145B","SYSTEMS NEUROSCIENCE","LEC","005627","892123844"
"1081","1541","1","NPSY"," 199A","HUMAN NEUROPSYCHOLOGY","LEC","006411","892123844"
"1081","1097","2","BIOL","  22A","GENETICS & MOLECULAR BIO","LEC","000883","892123844"
"1081","1095","4","BIOL","  18A","GENERAL BIOLOGY LAB","LAB","000851","892123844"
"1083","6365","1","NBIO"," 143B","DEVELOPMENTAL NEURBIOL.","LEC","005625","892123844"
"1083","3996","2","PHYS","  19A","PHYSICS LAB I","LAB","006801","892123844"
"1083","3277","1","BIOL","  42A","HUMAN PHYSIOLOGY","LEC","000989","892123844"
"1091","4558","1","PE","  50A","BEGINNER'S FITNESS","NCA","012246","892123844"
"1091","4346","1","BIOL"," 149B","MOLECULAR PHARMACOLOGY","LEC","000826","892123844"
"1091","4186","1","NBIO"," 147A","NEUROGENETICS","LEC","005629","892123844"
"1091","1548","1","PSYC","  51A","STATISTICS","LEC","007600","892123844"
"1091","1490","1","PE","  40A","PERSNL SAFETY/SELF-DEFENSE","NCA","006490","892123844"
"1063","4176","1","FA","   3A","INTRO TO DRAWING I","STD","002811","118341470"
