"Term","Class Nbr","Section","Subject","Catalog","Descr","Component","Course ID","Survey ID"
"1061","1212","1","COMP","   1A","COMPOSITION","LEC","001608","288672693"
"1061","3971","1","SOC","   1A","ORDER AND CHANGE-SOCIETY","LEC","007970","288672693"
"1061","1534","1","MATH","   5A","PRECALCULUS MATHEMATICS","LEC","005349","288672693"
"1061","1249","2","ECON","   2A","INTRO TO ECONOMICS","LEC","001900","288672693"
"1063","6193","1W","USEM","  60B","ART AND THE BIBLE","SEM","009216","288672693"
"1063","6044","3","ECON","   8B","THE GLOBAL ECONOMY","LEC","001960","288672693"
"1063","5238","1","PE","   1A","BEGINNER'S SWIMMING","NCA","006446","288672693"
"1063","3114","1","CLAS"," 133A","ART/ARCHAEOLOGY-ANC GRC.","LEC","001393","288672693"
"1071","4493","1","ECON","  69A","ECONOMICS OF RACE&GENDER","LEC","001937","288672693"
"1071","3436","1","BUS","   6A","FINANCIAL ACCOUNTING","LEC","001820","288672693"
"1071","3351","2","BUS","  10A","CAPITALIST ENTERPRISE","LEC","001911","288672693"
"1071","1370","1","FREN","  10A","BEGINNING FRENCH","LEC","002946","288672693"
"1073","6357","1","ECON","  55A","AMERICAN ECONOMIC HISTORY","SEM","011882","288672693"
"1073","6257","1","FA","  74A","ART SINCE 1945","LEC","002751","288672693"
"1073","5494","1","BUS","  70A","BUSINESS IN THE GLOBAL ECONOMY","LEC","001904","288672693"
"1073","5230","1","FREN","  20B","CONTINUING FRENCH","LEC","003023","288672693"
"1081","4581","1","ECON","  80A","MICROECONOMIC THEORY","LEC","001950","288672693"
"1081","4044","1","BISC","   5B","DISEASES OF THE MIND","LEC","011860","288672693"
"1081","2848","2","FREN","  32A","INT.FRENCH:CONVERSATION","LEC","003025","288672693"
"1083","6318","1","ECON"," 160A","INTERNAT'L TRADE THEORY","LEC","001840","288672693"
"1083","4965","1","ECON","  83A","STATISTICS-ECON ANALYSIS","LEC","001953","288672693"
"1083","4348","1","POL","  15A","INTRO TO INT'L RELATIONS","LEC","007065","288672693"
"1083","3867","1","IGS","  10A","INTRO TO INT'L GLOBAL ST","LEC","009531","288672693"
"1093","15593","1","FA"," 152A","CONTEMPORARY ART","LEC","011851","288672693"
"1093","14144","1","BUS","  89A","WORK:GLOBAL BSNSS ENVIR.","SEM","004354","288672693"
"1093","13226","1","REL"," 107A","INTRO WORLD RELIGIONS","LEC","007652","288672693"
"1093","11167","1","1CAS","9000","SPECIAL COURSE LOAD","NCA","009845","288672693"
"1093","10542","2","ECON","  82B","MACROECONOMIC THEORY","LEC","001952","288672693"
"1093","9402","1","PE","   5A","FIRST AID AND CPR","NCA","006503","288672693"
"1093","6598","2","FA","   3A","INTRO TO DRAWING I","STD","002811","288672693"
"1133","6808","1","BUS","  30A","ENTREPRENEURSHIP& INNOVATION","LEC","004375","288672693"
"1053","3098","1","CHEM","  15A","HONORS GENERAL CHEMISTRY","LEC","001091","863161046"
"1053","6258","1","MATH","  13A","THEORY OF GRAPHS&TILINGS","LEC","010936","863161046"
"1053","3138","4","COMP","   1A","COMPOSITION","LEC","001608","863161046"
"1053","3103","1","CHEM","  19A","HONORS GEN'L CHEM LAB I","LAB","001100","863161046"
"1053","3006","1","AAAS"," 126B","POL. ECONOMY-THIRD WORLD","LEC","000021","863161046"
"1061","3817","1","USEM","  80A","CULTURAL STUDIES:ALIEN,ISOLAT","SEM","009848","863161046"
"1061","1975","1","UWS","   3B","UNIVERSITY WRITING SEM.","SEM","009373","863161046"
"1061","1158","4","CHEM","  19B","HONORS GEN'L CHEM LAB II","LAB","001102","863161046"
"1061","1149","1","CHEM","  15B","HONORS GENERAL CHEMISTRY","LEC","001095","863161046"
"1063","6266","1","AAAS","  75B","HIP HOP CULTURE","LEC","011376","863161046"
"1063","5788","3","ITAL","  10A","BEGINNING ITALIAN","LEC","004575","863161046"
"1063","4035","1","ENG"," 121A","SEX AND CULTURE","LEC","002149","863161046"
"1063","3408","4","BIOL","  22B","CELL STRUCTURE/FUNCTION","LEC","000885","863161046"
"1063","3403","3","BIOL","  18B","GENERAL BIOLOGY LAB","LAB","000853","863161046"
"1071","4436","1","BCSC","   7B","DRUG DISCOVRY & DEVLPMNT","LEC","000769","863161046"
"1071","2138","4","BIOL","  22A","GENETICS & MOLECULAR BIO","LEC","000883","863161046"
"1071","1489","2","ITAL","  20B","CONTINUING ITALIAN","LEC","004590","863161046"
"1071","1116","2","BIOL","  18A","GENERAL BIOLOGY LAB","LAB","000851","863161046"
"1073","5244","1","ITAL","  30A","INTERMEDIATE ITALIAN","LEC","004591","863161046"
"1073","4173","1","PHYS","  18A","INTRODUCTORY LAB I","LAB","006797","863161046"
"1073","4172","1","PHYS","  10A","INTRO PHYSICAL LAWS & PHENOM I","LEC","006760","863161046"
"1081","4635","1","AMST"," 183B","SPORTS AND AMERICAN CUL.","LEC","000237","863161046"
"1081","3007","1","BCSC","   1A","DESIGNER GENES","LEC","000759","863161046"
"1081","2768","1","1CAS","9000","SPECIAL COURSE LOAD","NCA","009845","863161046"
"1081","1699","1","THA","   4A","ACTING I :VOCAL/PHYS CNNCTN","STD","008657","863161046"
"1083","6121","1","LGLS"," 132B","ENVIRONMENTAL LAW/POLICY","SEM","005045","863161046"
"1083","6045","1","AMST"," 170A","IDEA OF CONSPIRACY-AMER.","LEC","000232","863161046"
"1083","4693","1","THA"," 105A","SINGING FOR MUSICAL THEATER","STD","008282","863161046"
"1083","3919","1","LGLS"," 133B","CRIMINAL LAW","SEM","005049","863161046"
"1083","3026","1","AMST"," 100A","CLASS. TEXTS:AMERICAN CULT1900","LEC","000105","863161046"
"1091","4348","1","AMST"," 130B","TELEVISION/AMER.CULTURE","LEC","000173","863161046"
"1091","4051","1","JOUR"," 112B","ART OF FEATURE WRITING","SEM","004769","863161046"
"1091","1031","1","AMST"," 100B","20TH-C AMERICAN CULTURE","LEC","000108","863161046"
"1081","4641","1","AAAS"," 135B","GLOBAL HIP HOP","LEC","012035","679343197"
"1073","6339","1","UWS","  15A","UNIVERSITY WRITING SEM.","SEM","009345","679343197"
"1073","5102","1","SOC"," 189A","SOC. OF BODY AND HEALTH","LEC","007949","679343197"
"1073","3109","1","PHIL","  17A","INTRO TO ETHICS","LEC","006632","679343197"
"1081","4274","1","USEM","  70B","AT THE BORDER OF ART AND LIFE","SEM","011915","679343197"
"1081","1687","2","SPAN","  10A","BEGINNING SPANISH","LEC","008175","679343197"
"1083","6462","1","ED"," 170A","CRITICAL PERSPECT IN URBAN EDU","SEM","012177","679343197"
"1083","6315","1","AMST"," 149A","ON THE EDGE OF HISTORY","LEC","000201","679343197"
"1083","6307","1","FILM"," 100A","INTRO: THE MOVING IMAGE","LEC","002927","679343197"
"1083","4592","1","PE","  10A","BASKETBALL","NCA","006430","679343197"
"1083","3829","1","FA","   4A","THREE-DIMENSIONAL DES. I","STD","002828","679343197"
"1091","4085","1","ENG","  10B","POETRY: A BASIC COURSE","LEC","002114","679343197"
"1091","4048","1","AMST"," 163B","THE SIXTIES","LEC","000223","679343197"
"1091","2656","1","ED"," 103A","EARLY CHILDHOOD TEACHING","LEC","002054","679343197"
"1093","15868","1","AMST"," 183B","SPORTS AND AMERICAN CUL.","LEC","000237","679343197"
"1093","15775","1","BISC","   7A","BIOLOGY & CULTURE OF DEAFNESS","LEC","011849","679343197"
"1093","15689","1","SOC"," 191A","HEALTH, COMMUNITY & SOC.","LEC","007956","679343197"
"1093","12336","1","HS"," 110A","WEALTH AND POVERTY","LEC","003745","679343197"
"1093","3652","1","AAAS","   5A","INTRO AFR./AFR0-AM STUDY","LEC","000070","679343197"
"1101","5583","1","POL"," 116B","CIVIL LIBERTIES-AMERICA","LEC","006976","679343197"
"1101","5301","1","AMST"," 100A","CLASS. TEXTS:AMERICAN CULT1900","LEC","000105","679343197"
"1101","1996","1","AMST","  10A","FOUNDATIONS-AMERICAN CIV","LEC","000134","679343197"
"1101","1522","2","THA"," 130A","SUZUKI","STD","010944","679343197"
"1103","6197","1","FA","  51A","ART-EARLY RENAISS. ITALY","LEC","002831","679343197"
"1103","6118","1","SOC"," 150B","CULTURE OF CONSUMPTION","LEC","007889","679343197"
"1103","5359","1","SOC"," 119A","WAR/POSSIBILITIES OF PEACE","LEC","007832","679343197"
"1111","4394","1","THA","   9B","MOVEMENT FOR STAGE II","STD","008693","679343197"
"1111","2773","1","AAAS","  82A","URBAN POLITICS","LEC","011019","679343197"
"1111","1433","1","AMST"," 100B","20TH-C AMERICAN CULTURE","LEC","000108","679343197"
"1121","8351","1","THA"," 205B","MOVEMENT I","STD","008366","679343197"
"1121","8229","1","COSI","  65A","INTRO 3-D ANIMATION","LEC","011472","679343197"
"1121","6044","1","AMST"," 170A","CONSPIRACY THEORY","LEC","000232","679343197"
"1071","4027","1","USEM","  34B","CONTEMPO LATINO IMMIGRANTS","SEM","011391","139294840"
"1063","6266","1","AAAS","  75B","HIP HOP CULTURE","LEC","011376","139294840"
"1063","5436","1","WMGS","   5A","WOMEN/GENDER IN CULTURE & SOC","LEC","009460","139294840"
"1063","4012","1","UWS","   4A","UNIVERSITY WRITING SEM.","SEM","009378","139294840"
"1071","1479","1","IGS","  10A","INTRO TO INT'L GLOBAL ST","LEC","009531","139294840"
"1071","1278","2","ECON","   2A","INTRO TO ECONOMICS","LEC","001900","139294840"
"1073","5253","2","ITAL","  10A","BEGINNING ITALIAN","LEC","004575","139294840"
"1073","3523","2","CHEM","  11A","GENERAL CHEMISTRY I","LEC","001067","139294840"
"1081","4646","2","CHEM","  11B","GENERAL CHEMISTRY II","LEC","001068","139294840"
"1081","4395","1","ANTH","   1A","INTRO-COMP ST. HUMAN SOC","LEC","000429","139294840"
"1081","3370","1","POL","  15A","INTRO TO INT'L RELATIONS","LEC","007065","139294840"
"1081","1232","1","ECON","   8B","THE GLOBAL ECONOMY","LEC","001960","139294840"
"1093","15935","1","ANTH"," 154A","CULTURE AND MENTAL ILLNESS","LEC","012305","139294840"
"1093","15762","5","CHEM","  18A","GENERAL CHEMISTRY LAB I","LAB","001098","139294840"
"1093","15755","1","CHEM","  11A","GENERAL CHEMISTRY I","LEC","001067","139294840"
"1093","13876","1","PHIL","  22B","PHILOSOPHY OF LAW","LEC","006647","139294840"
"1101","5589","1","ANTH"," 111A","AGING IN CROSS-CULT. PERSPECT.","SEM","012416","139294840"
"1101","4487","1","LGLS"," 131B","PATIENT AUTONOMY:LAW,MED,ETHIC","SEM","005042","139294840"
"1101","2285","1","ITAL","  20B","CONTINUING ITALIAN","LEC","004590","139294840"
"1101","1485","1","PE","  41A","PILATES","NCA","006491","139294840"
"1103","5530","1","SOC"," 191A","HEALTH, COMMUNITY & SOC.","LEC","007956","139294840"
"1103","4968","1","ITAL","  30A","INTERMEDIATE ITALIAN","LEC","004591","139294840"
"1103","4512","1","HS"," 104B","AMER. HEALTH CARE SYSTEM","LEC","003744","139294840"
"1103","4210","4","BIOL","  22B","CELL STRUCTURE/FUNCTION","LEC","000885","139294840"
"1103","4204","2","BIOL","  18B","GENERAL BIOLOGY LAB","LAB","000853","139294840"
"1131","4084","3","HSSP"," 110A","INTEGRAT. SEM. ON HEALTH","SEM","009567","139294840"
"1131","4030","1","HSSP"," 115B","PERSPECT.ON BEHAVIORAL HEALTH","LEC","012364","139294840"
"1131","3978","1","AMST"," 170A","CONSPIRACY THEORY","LEC","000232","139294840"
"1131","1760","1","BIOL","  15B","BIOLOGY: HUMAN IMPLICATNS","LEC","000834","139294840"
"1133","10218","3","HSSP"," 100B","INTRO:BIOSTATS/EPIDEMLGY","LEC","009570","139294840"
"1133","6782","2","PE","   5A","FIRST AID AND CPR","NCA","006503","139294840"
"1133","6268","1","BISC","   5A","PATHOGENS & HUMAN DISEASE","LEC","001048","139294840"
"1133","5794","1","HSSP"," 106A","MANAGING MEDICINE","LEC","011332","139294840"
"1133","5618","2","HSSP","  89A","INTERNSHIP & ANALYSIS","SEM","011087","139294840"
"1093","7409","1","PSYC","   1A","INTRO TO PSYCHOLOGY","LEC","007378","313874699"
