"Term","Class Nbr","Section","Subject","Catalog","Descr","Component","Course ID","Survey ID"
"1033","1514","2","FA","   4A","THREE-DIMENSIONAL DES. I","STD","002828","294079215"
"1033","2589","1","UWS","   7A","UNIVERSITY WRITING SEM.","SEM","009400","294079215"
"1033","2129","2","PE","  21A","TENNIS","NCA","006452","294079215"
"1033","1830","1","JOUR"," 120A","THE CULTURE OF JOURNALSM","LEC","004770","294079215"
"1033","1387","1","ECON","   2A","INTRO TO ECONOMICS","LEC","001900","294079215"
"1041","2622","1","USEM","  86B","SEEING THINGS INVISIBLE","SEM","009292","294079215"
"1041","2197","1","PHIL","   1A","INTRO TO PHILOSOPHY","LEC","006640","294079215"
"1041","1840","1","IGS","  10A","INTRO TO INT'L GLOBAL ST","LEC","009531","294079215"
"1041","1675","1","HIST","  80B","EAST ASIA: 19THC-PRESENT","LEC","003706","294079215"
"1043","3699","1","JOUR"," 103B","ADVERTISING & THE MEDIA","SEM","004762","294079215"
"1043","3438","2","FA","   3A","INTRO TO DRAWING I","STD","002811","294079215"
"1043","3339","1","ECON","   8B","THE GLOBAL ECONOMY","LEC","001960","294079215"
"1043","3270","1","CHIN","  10A","BEGINNING CHINESE","LEC","001219","294079215"
"1043","3088","1","ANTH","   1A","INTRO-COMP ST. HUMAN SOC","LEC","000429","294079215"
"1051","3242","1","JOUR"," 125B","JOURNALISM OF CRISIS","LEC","004771","294079215"
"1051","3177","1","PHIL"," 119B","CHINESE PHILOSOPHY","LEC","006555","294079215"
"1051","1421","1","ECON"," 175A","INTRO: DEVELOP ECONOMICS","LEC","001864","294079215"
"1051","1312","1","CHIN","  20B","CONTINUING CHINESE","LEC","001226","294079215"
"1051","1067","1","AMST","  15A","WRITING FOR THE MEDIA","LEC","000216","294079215"
"1053","5602","1","OFFC"," 100","Off Campus Study","LEC","010796","294079215"
"1061","4348","1","JOUR"," 109B","THE NEW MEDIA LANDSCAPE","LEC","004766","294079215"
"1061","3820","1","ANTH","  55A","MODELS OF DEVELOPMENT","LEC","000574","294079215"
"1061","1185","1","CHIN","  40B","ADV. INTER. CHINESE","LEC","001231","294079215"
"1061","1071","1","BIOL","  17B","CONSERVATION BIOLOGY","LEC","000846","294079215"
"1073","6481","1","ANTH","  55A","ANTHROPOLOGY OF DEVELOPMENT","LEC","000574","294079215"
"1073","4583","1","POL","  15A","INTRO TO INT'L RELATIONS","LEC","007065","294079215"
"1081","4649","1","ENVS","  18B","INTNAL  ENVIRON CONFLICT&COLLA","SEM","011605","294079215"
"1081","3157","1","SOC"," 176A","NATURE,NURTURE, PUB. POL","LEC","007928","294079215"
"1081","1539","1","NPSY","  11B","INTRO:BEHAVIORAL NEUROSC","LEC","006392","294079215"
"1081","1291","1","FA","   3B","INTRO TO DRAWING II","STD","002812","294079215"
"1033","1264","2","CHEM","  11A","GENERAL CHEMISTRY","LEC","001067","677839697"
"1033","2571","1","USEM","  46A","FEAST AND FAMINE","SEM","009185","677839697"
"1033","2150","1","PHIL","  35A","PHILOSOPHY OF SCIENCE","LEC","006666","677839697"
"1033","1269","4","CHEM","  18A","GENERAL CHEMISTRY LAB I","LAB","001098","677839697"
"1041","2631","1","UWS","   9B","UNIVERSITY WRITING SEM.","SEM","009411","677839697"
"1041","2319","1","PSYC","   1A","INTRO TO PSYCHOLOGY","LEC","007378","677839697"
"1041","1702","1","HIST"," 176A","EMERGENCE OF MOD. JAPAN","SEM","003466","677839697"
"1041","1266","1","CHEM","  18B","GENERAL CHEMISTRY LAB II","LAB","001099","677839697"
"1041","1264","1","CHEM","  11B","GENERAL CHEMISTRY","LEC","001068","677839697"
"1043","3971","1","PHIL"," 138A","METAPHYSICS","LEC","006576","677839697"
"1043","3949","2","PE","  26A","BALLROOM DANCE","NCA","006459","677839697"
"1043","3241","2","CHEM","  29A","ORGANIC CHEMISTRY LAB I","LAB","001132","677839697"
"1043","3239","1","CHEM","  25A","ORGANIC CHEMISTRY, LECS.","LEC","001127","677839697"
"1043","3150","4","BIOL","  22B","CELL STRUCTURE/FUNCTION","LEC","000885","677839697"
"1043","3143","1","BIOL","  18B","GENERAL BIOLOGY LAB","LAB","000853","677839697"
"1051","3341","1","BISC","   6B","ENVIRONMENTAL HEALTH","LEC","001053","677839697"
"1051","1277","1","CHEM","  29B","ORGANIC CHEMISTRY LAB II","LAB","001133","677839697"
"1051","1276","1","CHEM","  25B","ORGANIC CHEMISTRY, LECS.","LEC","001128","677839697"
"1053","3352","3","MATH","  10B","TECHNIQUES-CALCULUS (B)","LEC","005188","677839697"
"1053","3051","1","BIOL","  42A","HUMAN PHYSIOLOGY","LEC","000989","677839697"
"1053","3033","1","BCHM"," 100A","INTRODUCTORY BIOCHEM.","LEC","000612","677839697"
"1071","2138","4","BIOL","  22A","GENETICS & MOLECULAR BIO","LEC","000883","677839697"
"1071","1980","1","BIOL"," 103B","MECHANISMS:CELL.FUNCTION","LEC","000780","677839697"
"1071","1528","2","MATH","  10A","TECHNIQUES-CALCULUS (A)","LEC","005186","677839697"
"1071","1115","1","BIOL","  18A","GENERAL BIOLOGY LAB","LAB","000851","677839697"
"1073","6088","1","FA","  51A","ART-EARLY RENAISS. ITALY","LEC","002831","677839697"
"1073","6054","1","BIOL"," 101A","MOLECULAR BIOTECHNOLOGY","LEC","011386","677839697"
"1073","3327","1","BIOL","  42A","HUMAN PHYSIOLOGY","LEC","000989","677839697"
"1081","4682","1","PHIL"," 144A","PHIL PROBLEMS-SPACE/TIME","LEC","006590","677839697"
"1081","4110","1","FA","  58B","HIGH & LATE RENAIS-ITALY","LEC","002834","677839697"
